faq_id,question,answer,category
1,What is the delivery time?,Standard delivery usually takes 3 to 7 business days.,Shipping
2,Do you offer free shipping?,Free shipping is available on eligible orders.,Shipping
3,Can I track my order?,Yes. Once your order is shipped you can track it using the tracking information provided.,Shipping
4,What is the return policy?,Products can be returned according to the applicable return policy and eligibility conditions.,Returns
5,How long do I have to return a product?,Eligible products can be returned within the applicable return window shown for the product.,Returns
6,How long does a refund take?,Refund processing time depends on the payment method and banking provider.,Refunds
7,What payment methods are accepted?,We accept supported online payment methods such as cards and other available payment options at checkout.,Payments
8,Do products have warranty?,Warranty availability depends on the individual product and manufacturer.,Warranty
9,Can I cancel my order?,Order cancellation depends on the order status and whether it has already been processed or shipped.,Orders
10,How can I contact customer support?,You can contact customer support through the support channel provided by the store.,Support
